maker,name,price
エイサー Acer,PO3-650-H76Z/307A [ゲーミングデスクトップ/Predator Orion 3000/Core i7-13700F/GeForce RTX 3070/メモリ 16GB/SSD 1TB/Windows 11 Home/ブラック],"￥338,000"
エイスース ASUS,PN64-S5302AD [超小型ミニパソコン/Core i5-13500H/メモリ 8GB/SSD 256GB/Windows 11 Home/ブラック],"￥118,800"
デル DELL,DX100VR-CHLC [XPS 8950 デスクトップ/ゲーミングデスクトップ/第12世代インテル Core i7 12700K/メモリ16GB DDR5/SSD 512GB+HDD 1TB/Windows 11 Home/NVIDIA GeForce RTX 3060 Ti LHR/プラチナシルバー],"￥279,800"
MSI エムエスアイ,Trident X2 13NUF-065JP [ゲーミングデスクトップパソコン/Core i7-13700KF/メモリ 32GB/SSD 1TB/GeForce RTX 4070 Ti/Windows 11 Home],"￥503,800"
レノボ･ジャパン Lenovo,90V70044JM [ゲーミングデスクトップパソコン/LegionTower 7i Gen8/Corei7-13700KF/GeForce RTX4080/メモリ 32GB/HDD2TB＋SSD2TB/Windows 11 Home/グレー],"￥544,500"
デル DELL,DA90-DNLCW [ゲーミングデスクトップPC/Alienware Aurora R15/Core i7-13700KF/GeForce RTX 3070 LHR/メモリ 32GB/SSD 1TB＋HDD 2TB/Windows 11 Home/ルナライト（シルバーホワイト）],"￥439,800"
レノボ･ジャパン Lenovo,90SM0060JP [デスクトップPC/ IdeaCentre 370i/ Pentium Gold G7400/HDD 1TB/メモリ 4GB/Windows 11 Home /グレー],"￥82,280"
マウスコンピューター mouse computer,DAIVZPCM127G307P22H [クリエイター向けデスクトップパソコン/Core i7/メモリ 16GB/SSD SSD 1TB（NVMe）/HDD 2TB/GeForce RTX 3070/DVDスーパーマルチドライブ/Windows11 Pro],"￥348,000"
MSI エムエスアイ,Trident X2 13NUI-028JP [ウルトラハイエンドゲーミングデスクトップパソコン/Core i9-13900KF/メモリ 32GB/SSD 2TB/GeForce RTX 4090/Windows 11 Pro/2年保証/数量限定],"￥954,800"
ECS イーシーエス,LIVAZ3-8/64-W11Pro（N5100） [小型デスクトップパソコン/Celeron Processor N5100/メモリ 8GB/eMMC 64GB/Windows 11 Pro],"￥56,170"
MSI エムエスアイ,Trident 3 13TC-064JP [コンパクトゲーミングデスクトップパソコン/Core i7-13700F/メモリ 16GB/SSD 1TB/GeForce RTX 3060/Windows 11 Home],"￥252,780"
